account_name,handle,text,posted_at,replies,reposts,likes,url
Ryo Takano,@r_outdoor_photo,【ヤマフレームフォトコンテスト開催決定のお知らせ】 いつも #ヤマフレーム をご利用くださっている皆様、ありがとうございます！ 今週企画を発表すると前振りしていたのですが、改めてフォトコンテストの開催を報告させていただきます！ pic.x.com/5Fvq43wwK6,昨日 19:34,,10,29,https://x.com/r_outdoor_photo/status/2083139334304379347
たかサーフ,@taka_SURF2018,3日目の朝、虚無きょっむの中登頂😂 まっ白の槍ヶ岳へサヨナラバイバイ👋 忍者🥷が買ってくれた槍クッキーを代わりに😚 そして下山開始すると晴れるのなぜなのん…？🙄 #ヤマフレーム pic.x.com/pgD40Arnik,6:56,3,2,68,https://x.com/taka_SURF2018/status/2083310765860380928
Ryo Takano,@r_outdoor_photo,フォトコンテストと聞くとフォトグラファー向けに感じるかもしれませんが、この企画は #ヤマフレーム で出力した山写真が応募条件となっています。 テーマは「山を、もっと自分らしく。」 写真の上手さというよりも、ヤマフレームで出力した山写真の個性を評価します。 x.com/r_outdoor_phot…,6:30,,,,https://x.com/r_outdoor_photo/status/2083304193146720667
itomici 山と刺繍⛰️🪡,@itomici_yama,ハッシュタグ入れ忘れてしまいました💦 #ヤマフレーム ↓ここから楽しめます⛰️ yamaframe.com,昨日 20:34,,,,https://x.com/itomici_yama/status/2083154319831117962
Take,@Takeochiro,2022.10.8槍ヶ岳を皮切りに3000m峰21座にチャレンジを始めて3年9ヶ月ちょいかけて2026.7.17奥穂高で完登🎊 次は百名山か百高山のどっちが早いかな🤔どっちも無理かも🤣 #ヤマフレーム pic.x.com/eY5qcoSfVt,昨日 17:34,1,1,43,https://x.com/Takeochiro/status/2083109029543555438
やまねこ,@PgBlPCj0aC16314,7月は、3回。いずれもお天気に恵まれて、充実した山行だった。 鳳凰三山 仙丈ヶ岳 源次郎岳 #7月を写真4枚で振り返る #ヤマフレーム pic.x.com/b6mWXp5JqK,7月30日(木) 22:08,,1,14,https://x.com/PgBlPCj0aC16314/status/2082815710989086858
ニノぴぴぴ〜っ⛰💙❤💚💛💜,@ninopipipiyoko,【 槍ヶ岳 】バージョンも作ってみた #ヤマフレーム pic.x.com/6Fjl2cJbnm,7月30日(木) 20:36,1,1,6,https://x.com/ninopipipiyoko/status/2082792470543528439
Ryo Takano,@r_outdoor_photo,アプリをリリースして1週間と少し経ち、想定より多くのユーザーに使っていただけて本当に嬉しいです！ 本当はもう少し後に実施しようと思っていたイベントの実施を早めたいと思います。 明日詳細な内容について公開します。 #ヤマフレーム ユーザーの皆様、楽しみにお待ちください。 x.com/r_outdoor_phot…,7月30日(木) 20:16,,,,https://x.com/r_outdoor_photo/status/2082787409981477155
Ryo Takano,@r_outdoor_photo,新しい機能としてフォントの増設を検討中です！ シンプルですが、旅Vlog的な感じで使いたい人もいるはず。 #ヤマフレーム をもっと楽しく使っていただけるように改良していきます。 pic.x.com/Vnb2yS97vk,7月30日(木) 20:11,,,,https://x.com/r_outdoor_photo/status/2082786045704446411
たかサーフ,@taka_SURF2018,これ流行らせて欲しい笑 #ヤマフレーム #間違った使い方 x.com/taka_SURF2018/…,7月30日(木) 19:37,,,,https://x.com/r_outdoor_photo/status/2082777592403472469
たかサーフ,@taka_SURF2018,大好きな鷲羽岳とグラビアァァァ!!!😆 #ヤマフレーム #間違った使い方 pic.x.com/2BirJIMkAt,7月30日(木) 12:21,9,2,119,https://x.com/taka_SURF2018/status/2082667848414171459
りば,@riba_tozan,先日行った前掛山や燕岳の写真を使ってヤマフレームを少し触ってみました。なかなか楽しい😁 次からはヤマップ・ヤマレコのカバー写真用にヤマフレームで編集するのを想定した写真も撮ってみようかと思います😊　 #ヤマフレーム pic.x.com/RPR6Nru91y,7月29日(水) 22:15,,1,8,https://x.com/riba_tozan/status/2082455045686350058
ごり押し健,@MpxrnmoCMxUO9bD,ヤマフレーム、楽しいかも。 #ヤマフレーム pic.x.com/zmDLYx3MRq,7月29日(水) 22:12,,1,2,https://x.com/MpxrnmoCMxUO9bD/status/2082454274030911505
Ryo Takano,@r_outdoor_photo,スイスに行った時の山写真を #ヤマフレーム で編集してみました pic.x.com/SK7Xkxjhi9,7月29日(水) 18:48,,2,61,https://x.com/r_outdoor_photo/status/2082402863364677690
Ryo Takano,@r_outdoor_photo,アップデートの速さをお褒めいただくことがあります。 しかしこれは皆様が #ヤマフレーム をご利用いただき投稿してくださるからです。 一緒にアプリを作っている僕の友人は現役のエンジニアなのですが、 実装→ユーザーテスト→課題の抽出→再実装のサイクルが高速で回ることに感動していました。 x.com/r_outdoor_phot…,7月29日(水) 12:44,,,,https://x.com/r_outdoor_photo/status/2082311340085883262
小野一俊,@kazutoshi_ono_,小野さんの #ヤマフレーム の使い方が面白すぎるwww x.com/kazutoshi_ono_…,7月29日(水) 12:03,,,,https://x.com/r_outdoor_photo/status/2082301043241828361
盛口,@Mori_2718,#ヤマフレーム これ狂おしいほど楽しい pic.x.com/TWChbMAkAm,7月29日(水) 11:44,,1,1,https://x.com/Mori_2718/status/2082296236024144005
小野一俊,@kazutoshi_ono_,山頂超え #ヤマフレーム pic.x.com/lmudD68zlp,7月29日(水) 11:10,5,61,835,https://x.com/kazutoshi_ono_/status/2082287521170661688
ニノぴぴぴ〜っ⛰💙❤💚💛💜,@ninopipipiyoko,iPhoneで撮影した私の写真ですら、まるで写真集みたいになりました！スゴい感動😆✨ #ヤマフレーム pic.x.com/s2OAzlCyCb,7月29日(水) 9:16,,1,3,https://x.com/ninopipipiyoko/status/2082259031490805967
Ryo Takano,@r_outdoor_photo,山写真アプリ #ヤマフレーム をご利用くださっている皆様、ありがとうございます！ リリースから1週間経過し、ユーザー数が1700人ほどとなりました！ リピート利用してくださる方も多くいて、毎日みなさまの投稿を楽しみにしています。 タグ付けいただければ拡散お手伝いしいます。 pic.x.com/jPSrO53Tj9,7月29日(水) 8:01,,1,11,https://x.com/r_outdoor_photo/status/2082239983721808055
かりがね,@imas_neco,#ヤマフレーム たのしい pic.x.com/AOSKytlIXk,7月28日(火) 20:02,,1,3,https://x.com/imas_neco/status/2082059104550527211
かりがね,@imas_neco,#ヤマフレーム 話題のやつ、適当にやっただけでめっちゃいい感じになるんだけどなぜ無料？？ どこからお金をお支払いできますか？？ pic.x.com/bVlksxc7J0,7月28日(火) 19:59,,1,2,https://x.com/imas_neco/status/2082058269519233126
Photo_Takumi.camera ( みやっさん ）,@TakumiCamera_P,これはすごい！自分の山写真をポスター風に。 自動でキャプション付けてくれるサイト #ヤマフレーム yamaframe.com pic.x.com/0opVmQhRKV,7月28日(火) 8:14,,,20,https://x.com/TakumiCamera_P/status/2081881011617771849
Ryo Takano,@r_outdoor_photo,中禅寺湖より #ヤマフレーム pic.x.com/bhcjC2V9L4 x.com/r_outdoor_phot…,7月27日(月) 22:30,,1,3,https://x.com/fura_b/status/2081733889320702004
Da–masu,@5050mountain,この使い方気づいてもらえて非常に嬉しいです！ YAMAPのトップ画像って統一感なくなりがちなので、真ん中に山名入れるだけで他の人とかなり差別化できると思います。 自分も試しに入れてみたのですが気に入ってます。 #ヤマフレーム pic.x.com/sCIBuPf6MC x.com/5050mountain/s…,7月27日(月) 21:31,,,,https://x.com/r_outdoor_photo/status/2081719067451474047
Ryo Takano,@r_outdoor_photo,山写真加工アプリ #ヤマフレーム を大きく更新しました！ yamaframe.com から確認してみてください！ ・山の名前の表示を写真ごとに選ぶ 山名の一覧に目のマークが付きました。タップすることで山名を写真から消したり表示したりすることができます。,7月27日(月) 18:46,,7,14,https://x.com/r_outdoor_photo/status/2081677503417217159
